rougher	thinner	thinner
rough	bad	creep
roughest	screenwriter	short-tailed
rough	!align="left	!align="left
rougher	!align="left	!align="left
roughest	awards	awards
meaner	compared	compared
mean	!align="left	!align="left
meanest	awards	metres
mean	!align="left	!align="left
meaner	!align="left	!align="left
meanest	!align="left	!align="left
heavier	heavier	heavier
heavy	heavy	metal
heaviest	awards	premio
heavy	heavier	heavier
heavier	lighter	lighter
heaviest	awards	awards
mightier	gato	gato
mighty	!align="left	!align="left
mightiest	bafta	bafta
mighty	!align="left	!align="left
mightier	!align="left	!align="left
mightiest	!align="left	!align="left
noisier	filters	filters
noisy	!align="left	!align="left
noisiest	award-nominated	jerzy
noisy	!align="left	!align="left
noisier	!align="left	!align="left
noisiest	!align="left	!align="left
worse	good	faster
bad	dan's	gamble
worst	worst	worst
bad	suffered	suffered
worse	worse	worse
worst	worst	worst
sadder	novi	novi
sad	!align="left	!align="left
saddest	second-highest	second-highest
sad	!align="left	!align="left
sadder	!align="left	!align="left
saddest	!align="left	!align="left
wilder	feral	feral
wild	wilson	wilson
wildest	second-highest	breeding
wild	school	school
wilder	worse	worse
wildest	wilson	wilson
stricter	strictly	strictly
strict	junior-senior	junior-senior
strictest	strictly	strictly
strict	secondary	secondary
stricter	stringent	stringent
strictest	second-highest	second-highest
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	narrower	narrower
narrowest	narrow	narrow
classier	adjacency	adjacency
classy	!align="left	!align="left
classiest	best	best
classy	!align="left	!align="left
classier	!align="left	!align="left
classiest	!align="left	!align="left
earlier	mid	mid
early	later	later
earliest	late	late
early	extant	extant
earlier	existing	existing
earliest	later	late
fatter	fats	triglycerides
fat	!align="left	!align="left
fattest	fats	hits
fat	!align="left	!align="left
fatter	!align="left	!align="left
fattest	!align="left	!align="left
fuller	larger	increases
full	davis	davis
fullest	complete	complete
full	zeal	zeal
fuller	within	within
fullest	davis	davis
costlier	cost	cost
costly	!align="left	!align="left
costliest	expensive	expensive
costly	storms	storms
costlier	saffir-simpson	saffir-simpson
costliest	!align="left	!align="left
tougher	upper	upper
tough	cool	cool
toughest	worst	worst
tough	tough	sasquatch
tougher	upper	upper
toughest	2.02	2.02
gentler	upper	upper
gentle	bivouac	bivouac
gentlest	coltrane's	coltrane's
gentle	!align="left	!align="left
gentler	!align="left	!align="left
gentlest	badass	badass
shorter	upper	shorter
short	relatively	relatively
shortest	longest	longest
short	shorter	shorter
shorter	upper	shorter
shortest	shortest	shortest
softer	upper	upper
soft	soft	soft
softest	top	elixir
soft	!align="left	!align="left
softer	!align="left	!align="left
softest	soft	soft
older	upper	upper
old	65	65
oldest	ages	officially
old	earliest	earliest
older	upper	upper
oldest	65	65
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	rich	rich
richer	smaller	slightly
richest	biggest	biggest
weaker	weaker	weaker
weak	weak	weak
weakest	strongest	strongest
weak	weak	weak
weaker	weaker	weaker
weakest	biggest	strongest
prettier	nothing	nothing
pretty	!align="left	!align="left
prettiest	it's	it's
pretty	lot	lot
prettier	smaller	lighter
prettiest	!align="left	!align="left
cooler	warm	warm
cool	temperatures	temperatures
coolest	hottest	hottest
cool	lot	lot
cooler	bigger	hotter
coolest	third-largest	third-largest
luckier	chance	chance
lucky	!align="left	!align="left
luckiest	!scope="row	!scope="row
lucky	!align="left	!align="left
luckier	!align="left	!align="left
luckiest	!align="left	!align="left
lighter	infrared	infrared
light	heavier	quay
lightest	largest	largest
light	weight	slightly
lighter	heavier	heavier
lightest	largest	lightest
shorter	shorter	shorter
short	long	long
shortest	longest	longest
short	somewhere	somewhere
shorter	someone	someone
shortest	longest	longest
fewer	several	several
few	number	number
fewest	earliest	earliest
few	points	points
fewer	someone	someone
fewest	largest	largest
sharper	2.69	2.69
sharp	turning	turning
sharpest	largest	strongest
sharp	!align="left	!align="left
sharper	!align="left	!align="left
sharpest	earliest	longest
taller	taller	25cm
tall	tall	tall
tallest	tallest	tallest
tall	skyscraper	skyscraper
taller	someone	someone
tallest	tallest	tallest
smoother	thicker	thicker
smooth	slight	slight
smoothest	conjugacy	conjugacy
smooth	!align="left	!align="left
smoother	!align="left	!align="left
smoothest	capita	capita
nicer	quieter	happier
nice	!align="left	!align="left
nicest	"if	"if
nice	!align="left	!align="left
nicer	!align="left	!align="left
nicest	!align="left	!align="left
broader	broader	broader
broad	broad	broad
broadest	narrower	spectrum
broad	large	large
broader	larger	broader
broadest	defining	defining
savvier	disinterested	disinterested
savvy	!align="left	!align="left
savviest	nerds	nerds
savvy	!align="left	!align="left
savvier	!align="left	!align="left
savviest	!align="left	!align="left
greater	greater	greater
great	considerable	considerable
greatest	greatest	greatest
great	large	huge
greater	larger	significant
greatest	highest	greatest
wilder	feral	feral
wild	astaire	astaire
wildest	feral	mammals
wild	brave	brave
wilder	disclosure	disclosure
wildest	stevenson	stevenson
smoother	thickened	thickened
smooth	refreshing	refreshing
smoothest	angulated	angulated
smooth	!align="left	!align="left
smoother	!align="left	!align="left
smoothest	notch	notch
mightier	taunted	taunted
mighty	!align="left	!align="left
mightiest	descending	taunted
mighty	!align="left	!align="left
mightier	!align="left	!align="left
mightiest	!align="left	!align="left
leaner	prioritizing	prioritizing
lean	!align="left	!align="left
leanest	lactate	lactate
lean	!align="left	!align="left
leaner	!align="left	!align="left
leanest	!align="left	!align="left
cleaner	cleaning	reduce
clean	clean	clean
cleanest	greenhouse	greenhouse
clean	sophisticated	sophisticated
cleaner	biogas	biogas
cleanest	clean	clean
narrower	narrower	narrowest
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	late	kongsvinger
narrower	previous	previous
narrowest	narrow	cyathea
colder	warm	warm
cold	temperatures	temperatures
coldest	warm	warm
cold	temperatures	temperatures
colder	temperatures	temperatures
coldest	warmer	abundant
noisier	noise	noise
noisy	!align="left	!align="left
noisiest	noise	noise
noisy	!align="left	!align="left
noisier	!align="left	!align="left
noisiest	!align="left	!align="left
deeper	deeper	deeper
deep	deep	through
deepest	deepest	deepest
deep	late	deep
deeper	deep	deep
deepest	exploration	exploration
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
quicker	brother	faster
quick	faster	deployable
quickest	quickest	quickest
quick	situations	situations
quicker	faster	faster
quickest	fastest	fastest
narrower	narrower	width
narrow	narrow	narrow
narrowest	width	width
narrow	narrow	narrow
narrower	narrow	slightly
narrowest	width	width
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	deep
deeper	deep	deeper
deepest	deep	agulhas
closer	closer	closer
close	close	paralyzing
closest	closest	closest
close	close	close
closer	close	close
closest	closest	closest
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	skyscraper	skyscraper
taller	skyscraper	taller
tallest	tall	tall
kinder	no	no
kind	grimes	grimes
kindest	ever	ever
kind	!align="left	!align="left
kinder	!align="left	colspan=3|total
kindest	famous	famous
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
