rougher	uneven	saunders
rough	!	!
roughest	grammy	grammy
rough	!	!
rougher	!	!
roughest	!	!
meaner	worse	worse
mean	!	!
meanest	classification	classification
mean	!	!
meaner	!	!
meanest	!	!
heavier	heavier	trenches
heavy	lighter	lighter
heaviest	56th	56th
heavy	plunder	plunder
heavier	flow	flow
heaviest	finest	four-time
mightier	resist	compilers
mighty	!	!
mightiest	nominated	nominated
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	processor	processor
noisy	!	!
noisiest	cavan	cavan
noisy	!	!
noisier	!	!
noisiest	!	!
worse	adolescents	adolescents
bad	stead	phyllis
worst	second-highest	second-highest
bad	altman	spartans
worse	negative	negative
worst	second-highest	second-highest
sadder	petro	petro
sad	!	!
saddest	'or	cher
sad	!	!
sadder	!	!
saddest	!	!
wilder	white-tailed	white-tailed
wild	pete	burns
wildest	white-tailed	199192
wild	!	!
wilder	!	!
wildest	epitome	epitome
stricter	certain	certain
strict	bookshop	bookshop
strictest	second-highest	exponent
strict	!	!
stricter	!	!
strictest	second-highest	proclamation
narrower	whitish	whitish
narrow	hindwing	oblique
narrowest	greyish	greyish
narrow	!	!
narrower	!	!
narrowest	second-highest	carboniferous
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	resembled	horton
earliest	ranked	ranked
early	evidently	evidently
earlier	evidently	evidently
earliest	previous	previous
fatter	sugars	sugars
fat	!	!
fattest	rankings	thug
fat	!	!
fatter	!	!
fattest	!	!
fuller	reduced	reduced
full	horton	horton
fullest	ranked	top-10
full	dignity	socrates
fuller	chabad	chabad
fullest	payton	mcfadden
costlier	metering	metering
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	grow	grow
toughest	winner	winner
tough	exposed	suggestive
tougher	upper	upper
toughest	playoff	playoff
gentler	upper	upper
gentle	!	!
gentlest	chords	chords
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	relatively	relatively
shortest	winner	winner
short	aversion	suggestive
shorter	upper	upper
shortest	adjusting	adjusting
softer	upper	upper
soft	texture	texture
softest	shiny	triangle
soft	!	!
softer	!	!
softest	distillation	conformity
older	upper	upper
old	ages	phones
oldest	chapel	chapel
old	largest	wagga
older	upper	upper
oldest	24.2	24.2
richer	virtuous	virtuous
rich	substantial	substantial
richest	richest	richest
rich	substantial	substantial
richer	tinted	widowed
richest	richest	richest
weaker	weaker	weaker
weak	substantial	substantial
weakest	highest	highest-rated
weak	constraint	often
weaker	simpler	simpler
weakest	richest	richest
prettier	thrilled	thrilled
pretty	!	!
prettiest	highest-rated	highest-rated
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	cooler	dx
cool	climates	nestled
