rougher	franklin	franklin
rough	!	!
roughest	franklin	franklin
rough	!	!
rougher	!	!
roughest	!	!
meaner	1.3	1.3
mean	!	!
meanest	firm	firm
mean	!	!
meaner	!	!
meanest	!	!
heavier	takeover	takeover
heavy	minute	fe
heaviest	sustained	sustained
heavy	!	!
heavier	!	!
heaviest	metre	metre
mightier	powerful	powerful
mighty	!	!
mightiest	all-time	all-time
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	recalled	recalled
bad	racer	wonder
worst	neglect	neglect
bad	physiological	causing
worse	experiencing	experiencing
worst	everybody	everybody
sadder	afraid	afraid
sad	!	!
saddest	ain	spectacular
sad	!	!
sadder	!	!
saddest	!	!
wilder	beetle	beetle
wild	!	!
wildest	spectacular	spectacular
wild	!	!
wilder	!	!
wildest	!	!
stricter	validity	validity
strict	!	!
strictest	maximum	maximum
strict	!	!
stricter	!	!
strictest	!	!
narrower	forewings	crosses
narrow	!	!
narrowest	mountainous	mountainous
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	contractor	contractor
early	don	don
earliest	orientation	orientation
early	marsh	marsh
earlier	relationships	marsh
earliest	80s	80s
fatter	butter	butter
fat	!	!
fattest	punk	punk
fat	!	!
fatter	!	!
fattest	!	!
fuller	spectrum	spectrum
full	cousin	cousin
fullest	08	08
full	!	!
fuller	!	!
fullest	theologian	theologian
costlier	contractor	contractor
costly	!	!
costliest	contractor	contractor
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	iconic
tough	!	!
toughest	afraid	afraid
tough	!	!
tougher	!	!
toughest	!	!
gentler	tributaries	tributaries
gentle	!	!
gentlest	shiva	shiva
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	extends	extends
short	substrate	substrate
shortest	prizes	strand
short	!	!
shorter	!	!
shortest	cfl	cfl
softer	upper	upper
soft	!	!
softest	transparent	transparent
soft	!	!
softer	!	!
softest	!	!
older	upper	upper
old	touring	touring
oldest	suffix	suffix
old	visible	visible
older	18th-century	18th-century
oldest	lovers	lovers
richer	slam	slam
rich	!	!
richest	fulfilled	fulfilled
rich	exceptionally	exceptionally
richer	abolition	abolition
richest	!	!
weaker	ions	ions
weak	!	!
weakest	gmina	strictly
weak	!	!
weaker	!	!
weakest	!	!
prettier	gonna	intention
pretty	!	!
prettiest	myth	sunshine
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	mitchell	mitchell
cool	humid	humid
coolest	gmina	gmina
cool	!	!
cooler	!	!
coolest	humid	humid
luckier	slam	slam
lucky	!	!
luckiest	songwriter	sunshine
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	radiation	radiation
light	accompanied	accompanied
lightest	plaster	arab
light	!	!
lighter	!	!
lightest	chocolate	chocolate
shorter	sunshine	sunshine
short	tunnel	tunnel
shortest	1924	1924
short	!	!
shorter	!	!
shortest	catalonia	greater
fewer	different	different
few	recreational	recreational
fewest	denied	denied
few	!	!
fewer	!	!
fewest	recreational	recreational
sharper	lighter	lighter
sharp	!	!
sharpest	deceased	deceased
sharp	!	!
sharper	!	!
sharpest	!	!
taller	saddle	saddle
tall	!	!
tallest	hurdles	hurdles
tall	wards	wards
taller	wards	wards
tallest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	metric
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	lets	lets
nice	!	!
nicest	metric	metric
nice	!	!
nicer	!	!
nicest	!	!
broader	veins	ft
broad	facts	facts
broadest	metric	metric
broad	!	!
broader	!	!
broadest	viewed	viewed
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	flanders	flanders
great	richest	richest
greatest	altered	re
great	toys	toys
greater	controversy	controversy
greatest	headquartered	headquartered
wilder	farming	farming
wild	!	!
wildest	!	!
wild	ignore	ignore
wilder	freely	freely
wildest	!	!
smoother	substrate	substrate
smooth	!	!
smoothest	!	!
smooth	ignore	ignore
smoother	freely	freely
smoothest	!	!
mightier	root	root
mighty	!	!
mightiest	!	!
mighty	ignore	ignore
mightier	freely	freely
mightiest	!	!
leaner	root	root
lean	!	!
leanest	!	!
lean	ignore	ignore
leaner	freely	freely
leanest	!	!
cleaner	accelerated	accelerated
clean	!	!
cleanest	!	!
clean	ignore	ignore
cleaner	freely	freely
cleanest	!	!
narrower	equally	equally
narrow	!	!
narrowest	underside	underside
narrow	!	!
narrower	!	!
narrowest	!	!
colder	enemies	enemies
cold	!	!
coldest	rise	rise
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	centimeters	mention
deep	beginning	beginning
deepest	deceased	deceased
deep	!	!
deeper	!	!
deepest	debris	debris
taller	centimeters	shrubs
tall	!	!
tallest	underside	revealing
tall	runway	runway
taller	upgraded	upgraded
tallest	!	!
quicker	wheelchair	firing
quick	!	!
quickest	clutch	firing
quick	!	!
quicker	!	!
quickest	!	!
narrower	ponds	ponds
narrow	!	!
narrowest	transverse	transverse
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	gravity	firing
deep	bugs	bugs
deepest	cerambycidae	cerambycidae
deep	!	!
deeper	!	!
deepest	trout	pipeline
closer	peerage	shropshire
close	nation	nation
closest	cerambycidae	blackburn
close	squares	squares
closer	genes	genes
closest	slowly	slowly
taller	height	simplified
tall	!	!
tallest	cerambycidae	36
tall	masonry	masonry
taller	landmarks	landmarks
tallest	!	!
kinder	worn	worn
kind	!	!
kindest	handball	handball
kind	!	!
kinder	!	!
kindest	!	!
heavier	simpler	simpler
heavy	torque	metal
heaviest	slalom	slalom
heavy	!	!
heavier	!	!
heaviest	races	races
mightier	superman	superman
mighty	!	!
mightiest	fights	fights
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	worn	worn
lean	!	!
leanest	races	races
lean	!	!
leaner	!	!
leanest	!	!
smarter	analysts	analysts
smart	!	!
smartest	latino	latino
smart	!	!
smarter	!	!
smartest	!	!
milder	monsoon	elevations
mild	!	!
mildest	opener	opener
mild	!	!
milder	!	!
mildest	!	!
weaker	erin	sweep
weak	!	!
weakest	weakness	sweep
weak	!	!
weaker	!	!
weakest	!	!
friendlier	minutes	minutes
friendly	!	!
friendliest	opener	opener
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	itself	itself
lively	!	!
liveliest	photographs	acknowledged
lively	!	!
livelier	!	!
liveliest	!	!
younger	sa	visits
young	eleanor	eleanor
youngest	opener	acknowledged
young	joo	joo
younger	1795	alone
youngest	emmy	emmy
clearer	else	else
clear	!	!
clearest	!	!
clear	obscure	obscure
clearer	fruits	fruits
clearest	!	!
friendlier	comments	comments
friendly	!	!
friendliest	!	!
friendly	obscure	obscure
friendlier	fruits	fruits
friendliest	!	!
cleaner	compressed	compressed
clean	!	!
cleanest	!	!
clean	obscure	obscure
cleaner	fruits	fruits
cleanest	!	!
stronger	comments	comments
strong	unlikely	conspiracy
strongest	!	!
strong	dominance	dominance
stronger	dominance	dominance
strongest	!	!
freer	economically	economically
free	!	!
freest	!	!
free	obscure	obscure
freer	fruits	fruits
freest	!	!
tougher	harder	1795
tough	!	!
toughest	1795	1795
