rougher	sophisticated	unskilled
rough	pepys	pepys
roughest	award	award
rough	!align="left	!align="left
rougher	!align="left	!align="left
roughest	grammy	longlisted
meaner	than	than
mean	!align="left	!align="left
meanest	awards	awards
mean	!align="left	!align="left
meaner	!align="left	!align="left
meanest	!align="left	colspan=3|turnout
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	award	award
heavy	luck	luck
heavier	heavier	heavier
heaviest	heavy	heavy
mightier	hades	hades
mighty	!align="left	!align="left
mightiest	award	award
mighty	!align="left	!align="left
mightier	!align="left	!align="left
mightiest	!align="left	colspan=3|turnout
noisier	sophisticated	sophisticated
noisy	!align="left	!align="left
noisiest	awards	awards
noisy	!align="left	!align="left
noisier	!align="left	!align="left
noisiest	!align="left	colspan=3|turnout
worse	worse	worse
bad	terrible	terrible
worst	good	worse
bad	inadequate	malfunctions
worse	than	than
worst	worst	worst
sadder	alright	alright
sad	!align="left	!align="left
saddest	lowest	wronged
sad	!align="left	!align="left
sadder	!align="left	!align="left
saddest	!align="left	!align="left
wilder	birds	birds
wild	thurber	thurber
wildest	white-tailed	rarest
wild	fabricating	fabricating
wilder	analogs	analogs
wildest	second-highest	perri
stricter	stricter	stricter
strict	strict	strict
strictest	stricter	stricter
strict	!align="left	!align="left
stricter	!align="left	!align="left
strictest	chivalry	chivalry
narrower	width	width
narrow	narrow	narrow
narrowest	width	width
narrow	articular	articular
narrower	than	articular
narrowest	narrow	narrow
classier	formula_58	formula_58
classy	!align="left	!align="left
classiest	a-side	remix
classy	!align="left	!align="left
classier	!align="left	!align="left
classiest	!align="left	!align="left
earlier	mid	mid
early	later	later
earliest	late	earliest
early	trilobites	trilobites
earlier	larger	predate
earliest	later	later
fatter	grams	grams
fat	!align="left	!align="left
fattest	volume	volume
fat	!align="left	!align="left
fatter	!align="left	!align="left
fattest	!align="left	!align="left
fuller	wider	predefined
full	smith	fairbairn
fullest	complete	asm
full	britain	1635
fuller	larger	larger
fullest	boyce	boyce
costlier	optimum	optimum
costly	!align="left	!align="left
costliest	bandwidth	bandwidth
costly	!align="left	!align="left
costlier	!align="left	!align="left
costliest	!align="left	!align="left
tougher	upper	upper
tough	rough	rough
toughest	third-placed	third-placed
tough	tough	flexibility
tougher	upper	upper
toughest	fast-paced	fast-paced
gentler	upper	upper
gentle	!align="left	!align="left
gentlest	highest	duchesne
gentle	!align="left	!align="left
gentler	!align="left	!align="left
gentlest	!align="left	!align="left
shorter	upper	upper
short	short	short
shortest	long	shortest
short	short	short
shorter	upper	segments
shortest	maximum	maximum
softer	upper	upper
soft	soft	soft
softest	granular	granular
soft	!align="left	!align="left
softer	!align="left	!align="left
softest	harder	harder
older	upper	upper
old	age	age
oldest	oldest	oldest
old	earliest	earliest
older	upper	earliest
oldest	age	age
richer	bigger	bigger
rich	rich	rich
richest	richest	richest
rich	rich	rich
richer	bigger	bigger
richest	world's	richest
weaker	stronger	stronger
weak	weak	weak
weakest	strongest	strongest
weak	thin	blank
weaker	bigger	better
weakest	strongest	strongest
prettier	bigger	worse
pretty	!align="left	!align="left
prettiest	world's	world's
pretty	!align="left	colspan=3|turnout
prettier	!align="left	!align="left
prettiest	!align="left	!align="left
cooler	cooler	cooler
cool	precipitation	precipitation
coolest	world's	world's
cool	small	thin
cooler	bigger	bigger
coolest	third-largest	third-largest
luckier	sharper	worse
lucky	!align="left	!align="left
luckiest	second-largest	longest
lucky	!align="left	colspan=3|turnout
luckier	!align="left	!align="left
luckiest	!align="left	!align="left
lighter	lens	lens
light	dry	workable
lightest	observatories	observatories
light	lighter	lighter
lighter	heavier	heavier
lightest	lightest	lightest
shorter	shorter	shorter
short	longer	short
shortest	longest	longest
short	path	path
shorter	3.14	3.14
shortest	longest	longest
fewer	several	several
few	than	than
fewest	earliest	earliest
few	heroics	heroics
fewer	2.61	2.37
fewest	largest	largest
sharper	65	65
sharp	analyse	analyse
sharpest	co-chairman	co-chairman
sharp	!align="left	!align="left
sharper	!align="left	!align="left
sharpest	ioannina	analyse
taller	tallest	tallest
tall	tall	tall
tallest	tallest	tallest
tall	tall	tall
taller	skyscraper	taller
tallest	tallest	tallest
smoother	thicker	thicker
smooth	brushes	fricke
smoothest	algebraically	algebraically
smooth	!align="left	!align="left
smoother	!align="left	!align="left
smoothest	amplitudes	sexiest
nicer	toile	maior
nice	!align="left	!align="left
nicest	divisors	divisors
nice	!align="left	!align="left
nicer	!align="left	!align="left
nicest	!align="left	!align="left
broader	wider	wider
broad	broadly	strongly
broadest	extend	asic
broad	inconspicuous	wider
broader	wider	wider
broadest	unique	unique
savvier	stringent	stringent
savvy	!align="left	!align="left
savviest	divisors	divisors
savvy	!align="left	!align="left
savvier	!align="left	!align="left
savviest	!align="left	!align="left
greater	britain	britain
great	medium-sized	significant
greatest	britain	britain
great	substantial	substantial
greater	much	much
greatest	reduction	absolute
wilder	animals	animals
wild	smokey	smokey
wildest	mammals	mammals
wild	silly	surpassed
wilder	bullfighting	bullfighting
wildest	clark	clark
smoother	tubercles	tubercles
smooth	quite	quite
smoothest	obtuse	obtuse
smooth	!align="left	!align="left
smoother	!align="left	!align="left
smoothest	aquifers	aquifers
mightier	later	later
mighty	!align="left	!align="left
mightiest	"at	"at
mighty	!align="left	!align="left
mightier	!align="left	!align="left
mightiest	!align="left	!align="left
leaner	venous	venous
lean	!align="left	!align="left
leanest	upperside	upperside
lean	!align="left	!align="left
leaner	!align="left	!align="left
leanest	!align="left	!align="left
cleaner	cleaned	cleaned
clean	smokey	daytime
cleanest	sheet	sheet
clean	!align="left	!align="left
cleaner	!align="left	!align="left
cleanest	pumped	pumped
narrower	elongated	trapezoidal
narrow	cone-shaped	cone-shaped
narrowest	width	width
narrow	cork's	cork's
narrower	narrowly	narrowly
narrowest	semi-circular	semi-circular
colder	freezing	freezing
cold	late	overwinters
coldest	primeval	primeval
cold	temperatures	temperatures
colder	temperatures	temperature
coldest	temperatures	coleophoridae
noisier	low-frequency	annoyed
noisy	!align="left	!align="left
noisiest	noise	noise
noisy	!align="left	colspan=3|turnout
noisier	!align="left	!align="left
noisiest	!align="left	!align="left
deeper	deeper	deeper
deep	deep	subsea
