episode,	episode,	hip-hop	hip-hop
!	!	!	!
"top	"top	"top	"top
!	!	!	!
!	!	!	!
!	!	!	!
unusual	unusual	used,	used,
!	!	!	!
tournaments	oriented	tournaments	oriented
!	!	!	!
!	!	!	!
!	!	!	!
defenders	peninsula	peninsula	peninsula
mate	mate	well,	well,
aluminium	aluminium	prolific	prolific
!	!	!	!
!	!	!	!
wing.	wing.	simultaneously	simultaneously
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
marco	marco	marco	marco
neutral	hamilton	neutral	neutral
there's	remembered	second.	second.
history.	history.	said.	said.
suicide	suicide	saturday	suicide
say,	say,	withdraw	withdraw
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
mortality	patterns	freshwater	freshwater
!	!	!	!
56	remembered	scorer	scorer
!	!	!	!
!	!	!	!
!	!	!	!
clause	patterns	clause	identity
!	!	!	!
regulation	regulation	regulation	regulation
!	!	!	!
!	!	!	!
!	!	!	!
forewings	forewings	forewings	forewings
!	!	!	!
lies	lies	barn	barn
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
neighbourhood	neighbourhood	neighbourhood	neighbourhood
man"	man"	man"	man"
interviewed	interviewed	interviewed	interviewed
bore	bore	occasion	occasion
children’s	children’s	children’s	children’s
"high	"high	"high	"high
humans,	humans,	flexible	flexible
!	!	!	!
acid	acid	favourite	gets
!	!	!	!
!	!	!	!
!	!	!	!
finest	finest	finest	finest
!	!	!	!
1934,	1934,	remix	remix
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
hindu	hindu	hindu	hindu
!	!	!	!
earning	earning	earning	earning
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
idaho	idaho	idaho	idaho
depend	depend	flowers	flowers
earning	earning	earning	earning
!	!	!	!
!	!	!	!
wingspan	upgrade	upgrade	upgrade
ball,	ball,	derive	derive
!	!	!	!
earning	earning	earning	earning
!	!	!	!
!	!	!	!
!	!	!	!
rows	occasions	chicago.	chicago.
depend	depend	depend	depend
stands	stands	stands	stands
feed	feed	abbot	abbot
laying	laying	laying	laying
males.	males.	males.	males.
staged	staged	wine	staged
!	!	!	!
pageant	pageant	pageant	pageant
!	!	!	!
!	!	!	!
!	!	!	!
resulting	jennifer	resulting	resulting
!	!	!	!
present-day	present-day	present-day	jennifer
!	!	!	!
!	!	!	!
!	!	!	!
news"	news"	dawn	dawn
!	!	!	!
terminus	terminus	dawn	dawn
!	!	!	!
!	!	!	!
!	!	!	!
happened	happened	happened	happened
!	!	!	!
1977	1977	101	1977
!	!	!	!
!	!	!	!
!	!	!	!
happened	happened	happened	happened
!	!	!	!
skating	skating	skating	winner.
!	!	!	!
!	!	!	!
!	!	!	!
yellow	yellow	factors	ranging
attack.	attack.	attack.	attack.
