iraq	korea	korea
thailand	korea	korea
china	korea	korea
germany	germany	germany
switzerland	!align="right	!align="right
egypt	syria	criminal
australia	ghana	ghana
vietnam	!align="right	!align="right
cuba	italy	italy
finland	belarus	belarus
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	europe
spain	italy	italy
russia	russia	russia
norway	ghana	ghana
canada	ghana	ghana
france	france	france
italy	italy	italy
sweden	norway	norway
iran	bulgaria	bulgaria
japan	japan	japan
thailand	malaysia	malaysia
china	mongolia	mongolia
germany	germany	germany
switzerland	!align="right	!align="right
egypt	syria	syria
australia	finland	finland
vietnam	!align="right	!align="right
cuba	venice	venice
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	england
spain	ni	ni
russia	finland	finland
norway	germany	germany
canada	lebanon	wetlands
france	finland	finland
italy	venice	venice
sweden	germany	andhra
iran	lebanon	lebanon
japan	fred	fred
greece	satisfied	satisfied
china	uganda	uganda
germany	germany	germany
switzerland	!align="right	!align="right
egypt	iraq	iraq
australia	nicaragua	nicaragua
vietnam	!align="right	!align="right
cuba	nicaragua	nicaragua
finland	nicaragua	nicaragua
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	england
spain	chile	chile
russia	nicaragua	nicaragua
norway	roma	roma
canada	hastings	hastings
france	nicaragua	nicaragua
italy	libya	libya
sweden	nicaragua	nicaragua
iran	iran	nicaragua
japan	japan	japan
greece	greece	greece
iraq	nicaragua	nicaragua
germany	germany	germany
switzerland	!align="right	!align="right
egypt	iraq	iraq
australia	germany	germany
vietnam	!align="right	!align="right
cuba	germany	germany
finland	germany	germany
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	germany	germany
spain	germany	germany
russia	germany	germany
norway	germany	germany
canada	marco	marco
france	germany	germany
italy	france	france
sweden	germany	germany
iran	iran	iran
japan	japan	japan
greece	serbia	serbia
iraq	iraq	iraq
thailand	germany	germany
switzerland	!align="right	!align="right
egypt	iraq	iraq
